,name,score
3,2.3.5.4_44,15368
25,4.3.5.4_82,15354
44,4.4.5.3_84,14366
41,4.4.3.3_76,13944
20,4.2.5.4_72,13818
21,4.4.3.4_84,13714
39,3.4.5.2_59,13522
34,3.3.3.3_51,13286
40,2.4.5.3_46,13034
45,3.4.3.2_53,12752
13,3.4.5.3_65,12634
0,4.3.5.3_74,12458
42,3.2.5.3_49,12348
19,2.2.5.2_30,12306
6,4.2.3.3_56,12250
10,4.4.5.2_76,12230
12,3.4.5.4_71,12206
9,4.3.3.3_66,12204
15,4.3.3.2_58,11886
22,3.3.5.4_63,11880
28,4.2.3.2_48,11878
52,3.3.3.4_57,11704
33,4.3.3.4_74,11588
14,3.3.3.2_45,11576
37,2.4.5.4_50,11516
11,4.2.3.4_64,11440
50,3.4.3.4_65,11348
24,4.4.5.4_92,11330
29,3.4.3.3_59,11134
35,2.3.3.3.3,11026
54,3.3.5.2_51,10970
48,2.2.5.3_34,10818
27,4.3.5.2_66,10810
7,2.3.5.2_36,10692
23,3.3.5.3_57,10636
30,4.2.5.3_64,10556
47,4.4.3.2_68,10448
49,2.2.3.3_30,10398
38,2.3.3.4_40,10334
53,3.2.3.4_49,10282
18,2.3.3.3_36,10260
46,3.2.5.2_43,10226
31,2.3.3.2_32,10188
2,3.2.5.4_55,10012
36,4.2.5.2_56,9942
26,2.4.5.2_42,9928
43,2.2.5.4_38,9822
1,2.2.3.4_34,9696
16,3.2.3.2_37,9606
8,2.4.3.2_38,9520
51,2.3.5.3_40,9510
32,2.4.3.4_46,9466
17,2.2.3.2_26,9458
4,3.2.3.3_43,9300
5,2.4.3.3_42,9124
